age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
33, Private,153151, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,4416,0,40, United-States, <=50K
20, Private,286391, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,2176,0,20, United-States, <=50K
42, Local-gov,125461, Bachelors,13, Never-married, Exec-managerial, Own-child, White, Male,4650,0,35, United-States, <=50K
22, Without-pay,302347, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,4416,0,40, United-States, <=50K
23, Private,565313, Some-college,10, Never-married, Other-service, Own-child, Black, Male,2202,0,80, United-States, <=50K
39, Private,99357, Masters,14, Divorced, Prof-specialty, Own-child, White, Female,1506,0,40, United-States, <=50K
41, Private,200671, Bachelors,13, Divorced, Transport-moving, Own-child, Black, Male,6497,0,40, United-States, <=50K
25, Private,194897, HS-grad,9, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,6849,0,40, United-States, <=50K
33, Private,168981, Masters,14, Divorced, Exec-managerial, Own-child, White, Female,14084,0,50, United-States, >50K
19, Private,42069, HS-grad,9, Never-married, Transport-moving, Own-child, White, Male,2176,0,45, United-States, <=50K
26, Private,183171, 11th,7, Never-married, Other-service, Own-child, Black, Male,1055,0,32, United-States, <=50K
18, ?,256179, Some-college,10, Never-married, ?, Own-child, White, Male,594,0,10, United-States, <=50K
35, Private,139770, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Female,6849,0,40, United-States, <=50K
25, Private,195914, Some-college,10, Never-married, Sales, Own-child, Black, Female,3418,0,30, United-States, <=50K
43, Private,88913, Some-college,10, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Female,1055,0,40, United-States, <=50K
41, Private,115411, Some-college,10, Divorced, Sales, Own-child, White, Male,2174,0,45, United-States, <=50K
29, Private,163003, Bachelors,13, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,2202,0,40, Taiwan, <=50K
18, Private,173255, HS-grad,9, Never-married, Transport-moving, Own-child, White, Male,1055,0,25, United-States, <=50K
35, Private,127306, Assoc-voc,11, Never-married, Adm-clerical, Own-child, White, Female,14344,0,40, United-States, >50K
21, Private,253612, Some-college,10, Never-married, Prof-specialty, Own-child, White, Female,1055,0,32, United-States, <=50K
19, Private,208656, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,594,0,20, United-States, <=50K
26, Private,456618, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,2597,0,40, United-States, <=50K
18, Private,198616, 12th,8, Never-married, Craft-repair, Own-child, White, Male,594,0,20, United-States, <=50K
46, Local-gov,148995, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Male,4787,0,45, United-States, >50K
32, Private,317378, Bachelors,13, Never-married, Exec-managerial, Own-child, White, Female,10520,0,40, United-States, >50K
26, Private,102476, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Male,10520,0,64, United-States, >50K
21, Private,100462, Assoc-voc,11, Never-married, Exec-managerial, Own-child, White, Female,2174,0,60, United-States, <=50K
35, Private,167735, 11th,7, Never-married, Craft-repair, Own-child, White, Male,6849,0,40, United-States, <=50K
23, Private,242912, Some-college,10, Never-married, Other-service, Own-child, White, Female,4650,0,40, United-States, <=50K
28, Private,46987, Assoc-voc,11, Never-married, Tech-support, Own-child, White, Female,2174,0,36, United-States, <=50K
33, Private,134886, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,99999,0,30, United-States, >50K
18, Self-emp-not-inc,230373, 11th,7, Never-married, Other-service, Own-child, White, Female,594,0,4, United-States, <=50K
25, Private,148460, HS-grad,9, Never-married, Adm-clerical, Own-child, Black, Female,4416,0,40, Puerto-Rico, <=50K
36, Private,353524, HS-grad,9, Divorced, Exec-managerial, Own-child, White, Female,1831,0,40, United-States, <=50K
29, Private,326330, Some-college,10, Divorced, Exec-managerial, Own-child, White, Female,1831,0,40, United-States, <=50K
25, Private,176047, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Female,2176,0,40, United-States, <=50K
20, ?,66695, Some-college,10, Never-married, ?, Own-child, Other, Female,594,0,35, United-States, <=50K
19, Private,286435, Some-college,10, Never-married, Craft-repair, Own-child, White, Male,594,0,40, United-States, <=50K
22, Private,385077, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,2907,0,40, United-States, <=50K
26, Private,333677, Bachelors,13, Never-married, Exec-managerial, Own-child, White, Male,2463,0,35, United-States, <=50K
20, Private,316043, 11th,7, Never-married, Other-service, Own-child, Black, Male,594,0,20, United-States, <=50K
26, Private,151551, Some-college,10, Separated, Sales, Own-child, Amer-Indian-Eskimo, Male,2597,0,48, United-States, <=50K
23, ?,138768, Bachelors,13, Never-married, ?, Own-child, White, Male,2907,0,40, United-States, <=50K
21, ?,175166, Some-college,10, Never-married, ?, Own-child, White, Female,2176,0,40, United-States, <=50K
26, Private,108019, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,3325,0,40, United-States, <=50K
18, Private,60981, Some-college,10, Never-married, Sales, Own-child, White, Female,2176,0,35, United-States, <=50K
31, Private,347166, Some-college,10, Divorced, Craft-repair, Own-child, White, Male,4650,0,40, United-States, <=50K
48, State-gov,120131, HS-grad,9, Divorced, Craft-repair, Own-child, White, Male,8614,0,40, United-States, >50K
22, Local-gov,39236, Some-college,10, Never-married, Prof-specialty, Own-child, White, Female,594,0,25, United-States, <=50K
46, Private,270693, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,3674,0,30, United-States, <=50K
25, Private,104993, 9th,5, Never-married, Handlers-cleaners, Own-child, Black, Male,2907,0,40, United-States, <=50K
25, Private,139012, Bachelors,13, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,2174,0,40, Vietnam, <=50K
18, Private,199039, 12th,8, Never-married, Sales, Own-child, White, Male,594,0,14, United-States, <=50K
23, Private,160951, HS-grad,9, Never-married, Craft-repair, Own-child, Black, Male,2597,0,40, United-States, <=50K
25, Private,104193, HS-grad,9, Never-married, Other-service, Own-child, White, Female,114,0,40, United-States, <=50K
32, Self-emp-not-inc,261056, Bachelors,13, Never-married, Prof-specialty, Own-child, Black, Female,2174,0,60, ?, <=50K
48, Private,189462, Some-college,10, Divorced, Handlers-cleaners, Own-child, White, Male,2176,0,40, United-States, <=50K
24, Private,72119, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Male,2202,0,30, United-States, <=50K
30, Private,195576, Some-college,10, Never-married, Prof-specialty, Own-child, White, Male,3325,0,50, United-States, <=50K
17, Private,56536, 11th,7, Never-married, Sales, Own-child, White, Female,1055,0,18, India, <=50K
27, State-gov,192257, HS-grad,9, Never-married, Protective-serv, Own-child, White, Male,2174,0,40, United-States, <=50K
26, Private,195734, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Female,2354,0,40, United-States, <=50K
23, Private,91733, Bachelors,13, Never-married, Tech-support, Own-child, White, Female,3325,0,40, United-States, <=50K
46, Private,65353, Some-college,10, Divorced, Transport-moving, Own-child, White, Male,3325,0,55, United-States, <=50K
22, Private,205939, Bachelors,13, Never-married, Exec-managerial, Own-child, White, Male,2202,0,4, United-States, <=50K
29, Private,114158, Bachelors,13, Never-married, Exec-managerial, Own-child, White, Female,3325,0,10, United-States, <=50K
54, State-gov,137815, 12th,8, Never-married, Other-service, Own-child, White, Male,4101,0,40, United-States, <=50K
23, Private,239663, Some-college,10, Never-married, Handlers-cleaners, Own-child, White, Male,2597,0,50, United-States, <=50K
24, Private,128061, HS-grad,9, Never-married, Other-service, Own-child, White, Female,594,0,15, United-States, <=50K
24, Private,206827, Some-college,10, Never-married, Sales, Own-child, White, Female,5060,0,30, United-States, <=50K
17, Private,106733, 11th,7, Never-married, Craft-repair, Own-child, White, Male,594,0,40, United-States, <=50K
18, Private,225859, Some-college,10, Never-married, Transport-moving, Own-child, White, Male,2907,0,30, United-States, <=50K
18, Private,141626, Some-college,10, Never-married, Tech-support, Own-child, White, Male,2176,0,20, United-States, <=50K
22, Self-emp-not-inc,214014, Some-college,10, Never-married, Sales, Own-child, Black, Male,99999,0,55, United-States, >50K
32, Federal-gov,386877, Assoc-voc,11, Never-married, Tech-support, Own-child, Black, Male,4650,0,40, United-States, <=50K
44, Private,147110, Some-college,10, Divorced, Adm-clerical, Own-child, White, Male,14344,0,40, United-States, >50K
22, Private,205940, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female,1055,0,30, United-States, <=50K
23, Private,142766, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,1055,0,20, United-States, <=50K
