age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
26, Federal-gov,95806, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,3325,0,40, United-States, <=50K
36, Private,208358, 9th,5, Divorced, Handlers-cleaners, Not-in-family, White, Male,4650,0,56, United-States, <=50K
33, Private,131776, Bachelors,13, Divorced, Prof-specialty, Unmarried, White, Female,914,0,40, Germany, <=50K
90, ?,256514, Bachelors,13, Widowed, ?, Other-relative, White, Female,991,0,10, United-States, <=50K
33, Local-gov,161942, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Female,1055,0,40, United-States, <=50K
29, Private,190539, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,6849,0,48, United-States, <=50K
46, State-gov,106705, Some-college,10, Divorced, Prof-specialty, Unmarried, White, Female,1506,0,50, United-States, <=50K
47, Self-emp-inc,175958, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,3325,0,60, United-States, <=50K
55, Private,163083, Bachelors,13, Separated, Exec-managerial, Not-in-family, White, Male,14084,0,45, United-States, >50K
53, ?,158352, Masters,14, Never-married, ?, Not-in-family, White, Female,8614,0,35, United-States, >50K
66, ?,160995, 10th,6, Divorced, ?, Not-in-family, White, Female,1086,0,20, United-States, <=50K
35, Private,202027, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male,27828,0,50, United-States, >50K
22, Private,195532, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,8614,0,40, United-States, >50K
37, Private,234807, Bachelors,13, Divorced, Exec-managerial, Unmarried, White, Female,7430,0,45, United-States, >50K
35, ?,296738, 11th,7, Separated, ?, Not-in-family, White, Female,6849,0,60, United-States, <=50K
57, Private,188872, 5th-6th,3, Divorced, Transport-moving, Unmarried, White, Male,6497,0,40, United-States, <=50K
36, Private,130926, Bachelors,13, Divorced, Adm-clerical, Not-in-family, White, Female,3674,0,40, United-States, <=50K
30, Local-gov,125159, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Black, Male,14084,0,45, ?, >50K
25, Private,262778, Bachelors,13, Never-married, Sales, Not-in-family, White, Female,6849,0,50, United-States, <=50K
36, Private,192704, 12th,8, Never-married, Exec-managerial, Not-in-family, White, Male,4650,0,50, United-States, <=50K
28, Private,78870, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,8614,0,40, United-States, >50K
66, Local-gov,222810, Some-college,10, Divorced, Other-service, Other-relative, White, Female,7896,0,40, ?, >50K
42, Local-gov,195124, 11th,7, Divorced, Sales, Unmarried, White, Male,7430,0,50, Puerto-Rico, >50K
56, Private,191917, Assoc-acdm,12, Divorced, Adm-clerical, Unmarried, White, Female,4101,0,40, United-States, <=50K
68, Federal-gov,232151, Some-college,10, Divorced, Adm-clerical, Other-relative, Black, Female,2346,0,40, United-States, <=50K
45, Private,154430, Bachelors,13, Widowed, Prof-specialty, Not-in-family, White, Female,10520,0,50, United-States, >50K
55, Local-gov,177163, Masters,14, Widowed, Prof-specialty, Unmarried, White, Female,914,0,50, United-States, <=50K
45, Private,339863, Bachelors,13, Divorced, Sales, Not-in-family, White, Male,8614,0,48, United-States, >50K
47, Self-emp-inc,79627, Prof-school,15, Divorced, Prof-specialty, Not-in-family, White, Male,27828,0,50, United-States, >50K
28, Private,56179, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Male,2174,0,55, United-States, <=50K
54, Self-emp-not-inc,278230, Some-college,10, Divorced, Farming-fishing, Unmarried, White, Female,10520,0,30, United-States, >50K
36, Private,135293, Bachelors,13, Divorced, Prof-specialty, Unmarried, White, Female,1506,0,45, ?, <=50K
35, Private,275364, Bachelors,13, Divorced, Tech-support, Unmarried, White, Male,7430,0,40, Germany, >50K
53, Private,283602, Bachelors,13, Divorced, Sales, Not-in-family, White, Female,13550,0,43, United-States, >50K
44, Private,83508, Prof-school,15, Divorced, Prof-specialty, Not-in-family, White, Female,2354,0,99, United-States, <=50K
40, Private,197923, Bachelors,13, Never-married, Adm-clerical, Unmarried, Black, Female,2977,0,40, United-States, <=50K
42, State-gov,117583, Doctorate,16, Divorced, Prof-specialty, Not-in-family, White, Female,8614,0,60, United-States, >50K
62, Private,122246, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Female,8614,0,39, United-States, >50K
45, Private,543922, Masters,14, Divorced, Transport-moving, Not-in-family, White, Male,14344,0,48, United-States, >50K
48, Private,348144, Some-college,10, Divorced, Transport-moving, Not-in-family, White, Male,3325,0,53, United-States, <=50K
59, Private,108496, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,2907,0,40, United-States, <=50K
36, Self-emp-not-inc,164526, Masters,14, Never-married, Sales, Not-in-family, White, Male,10520,0,45, United-States, >50K
42, Private,259643, Masters,14, Divorced, Prof-specialty, Not-in-family, White, Male,4650,0,40, United-States, <=50K
52, Private,218550, Some-college,10, Married-spouse-absent, Adm-clerical, Not-in-family, White, Female,14084,0,16, United-States, >50K
34, Private,96483, Assoc-acdm,12, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,8614,0,60, United-States, >50K
78, Self-emp-not-inc,316261, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,99999,0,20, United-States, >50K
48, Federal-gov,205707, Masters,14, Married-spouse-absent, Exec-managerial, Not-in-family, White, Female,10520,0,50, United-States, >50K
33, Private,207267, 10th,6, Separated, Other-service, Unmarried, White, Female,3418,0,35, United-States, <=50K
35, Federal-gov,287031, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Male,8614,0,40, United-States, >50K
20, Private,59948, 9th,5, Never-married, Adm-clerical, Unmarried, Black, Female,114,0,20, United-States, <=50K
36, Private,297449, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White, Male,14084,0,40, United-States, >50K
33, Private,164707, Assoc-acdm,12, Never-married, Exec-managerial, Unmarried, White, Female,2174,0,55, ?, <=50K
33, State-gov,208785, Some-college,10, Separated, Prof-specialty, Not-in-family, White, Male,10520,0,40, United-States, >50K
34, Private,50276, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,27828,0,40, United-States, >50K
42, Federal-gov,170230, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Female,14084,0,60, United-States, >50K
53, State-gov,116367, Some-college,10, Divorced, Adm-clerical, Other-relative, White, Female,4650,0,40, United-States, <=50K
49, Local-gov,192349, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,4650,0,40, United-States, <=50K
51, Self-emp-not-inc,165001, Masters,14, Divorced, Exec-managerial, Unmarried, White, Male,25236,0,50, United-States, >50K
49, Self-emp-inc,362795, Masters,14, Divorced, Prof-specialty, Unmarried, White, Male,99999,0,80, Mexico, >50K
35, Private,188069, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,13550,0,55, ?, >50K
25, Private,169905, Assoc-voc,11, Never-married, Sales, Not-in-family, White, Male,27828,0,40, United-States, >50K
21, Private,203924, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Male,2597,0,45, United-States, <=50K
26, State-gov,203279, Prof-school,15, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,2463,0,50, India, <=50K
45, Self-emp-inc,191776, Masters,14, Divorced, Sales, Unmarried, White, Female,25236,0,42, United-States, >50K
56, Self-emp-inc,70720, Masters,14, Divorced, Exec-managerial, Not-in-family, White, Male,27828,0,60, United-States, >50K
28, Private,32291, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,2174,0,40, United-States, <=50K
31, Private,345122, Prof-school,15, Divorced, Prof-specialty, Not-in-family, White, Male,14084,0,50, United-States, >50K
67, ?,407618, 9th,5, Divorced, ?, Not-in-family, White, Female,2050,0,40, United-States, <=50K
46, Private,182128, Masters,14, Divorced, Prof-specialty, Unmarried, White, Female,6497,0,50, United-States, <=50K
52, Private,99736, Masters,14, Divorced, Prof-specialty, Unmarried, White, Male,15020,0,50, United-States, >50K
46, Local-gov,222115, Bachelors,13, Divorced, Adm-clerical, Not-in-family, White, Female,99999,0,40, United-States, >50K
24, Private,180060, Assoc-acdm,12, Never-married, Craft-repair, Not-in-family, White, Male,2354,0,40, United-States, <=50K
35, Self-emp-not-inc,31095, Some-college,10, Separated, Farming-fishing, Not-in-family, White, Male,4101,0,60, United-States, <=50K
33, Private,170769, Doctorate,16, Divorced, Sales, Not-in-family, White, Male,99999,0,60, United-States, >50K
41, Local-gov,112763, Masters,14, Divorced, Prof-specialty, Unmarried, White, Female,7430,0,36, United-States, >50K
51, Private,196501, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male,14084,0,50, United-States, >50K
26, Local-gov,425092, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,2174,0,40, United-States, <=50K
40, Private,116103, Some-college,10, Separated, Craft-repair, Unmarried, White, Male,4934,0,47, United-States, >50K
37, Private,361888, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,10520,0,40, United-States, >50K
69, Private,541737, Some-college,10, Widowed, Adm-clerical, Not-in-family, White, Female,2050,0,24, United-States, <=50K
29, Self-emp-not-inc,189346, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,2202,0,50, United-States, <=50K
26, Private,48718, 10th,6, Never-married, Adm-clerical, Not-in-family, White, Female,2907,0,40, United-States, <=50K
31, Private,213002, 12th,8, Never-married, Sales, Not-in-family, White, Male,4650,0,50, United-States, <=50K
34, Federal-gov,67083, Bachelors,13, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,1471,0,40, Cambodia, <=50K
37, Private,118486, Bachelors,13, Separated, Prof-specialty, Unmarried, White, Female,4934,0,32, United-States, >50K
51, Private,142717, Doctorate,16, Divorced, Craft-repair, Not-in-family, White, Female,4787,0,60, United-States, >50K
50, Federal-gov,166419, 11th,7, Never-married, Sales, Not-in-family, Black, Female,3674,0,40, United-States, <=50K
53, Local-gov,221722, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Female,14344,0,50, United-States, >50K
26, Local-gov,117833, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,4865,0,35, United-States, <=50K
49, State-gov,185800, Masters,14, Divorced, Prof-specialty, Unmarried, Black, Female,7430,0,40, United-States, >50K
26, Private,120238, Bachelors,13, Never-married, Craft-repair, Not-in-family, White, Male,3325,0,40, United-States, <=50K
31, State-gov,188900, Assoc-acdm,12, Never-married, Adm-clerical, Not-in-family, White, Female,3325,0,35, United-States, <=50K
35, State-gov,172475, Bachelors,13, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,2977,0,45, United-States, <=50K
26, Private,164488, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,13550,0,50, United-States, >50K
31, Private,369825, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,4101,0,50, United-States, <=50K
47, Private,168262, Masters,14, Separated, Exec-managerial, Not-in-family, White, Male,99999,0,50, United-States, >50K
23, Private,193090, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,3674,0,40, United-States, <=50K
70, Local-gov,88638, Masters,14, Never-married, Prof-specialty, Unmarried, White, Female,7896,0,50, United-States, >50K
34, State-gov,154246, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White, Male,4865,0,55, United-States, <=50K
29, Self-emp-not-inc,151476, Assoc-voc,11, Never-married, Adm-clerical, Not-in-family, White, Female,2174,0,40, United-States, <=50K
38, Private,168407, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,5721,0,44, United-States, <=50K
32, Federal-gov,191385, Assoc-acdm,12, Divorced, Protective-serv, Not-in-family, White, Male,2174,0,40, United-States, <=50K
48, Local-gov,238959, Masters,14, Divorced, Exec-managerial, Unmarried, Black, Female,9562,0,40, United-States, >50K
22, Private,310152, Some-college,10, Never-married, Other-service, Not-in-family, White, Male,3325,0,40, United-States, <=50K
23, Private,211049, Some-college,10, Never-married, Tech-support, Not-in-family, White, Female,4101,0,40, United-States, <=50K
38, Private,51100, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male,3325,0,40, United-States, <=50K
44, Local-gov,177240, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White, Male,10520,0,40, United-States, >50K
25, Private,321205, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,4101,0,35, United-States, <=50K
41, Private,182108, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,27828,0,35, United-States, >50K
38, Private,179117, Assoc-acdm,12, Never-married, Machine-op-inspct, Not-in-family, Black, Female,10520,0,50, United-States, >50K
40, Local-gov,24763, Some-college,10, Divorced, Transport-moving, Unmarried, White, Male,6849,0,40, United-States, <=50K
46, Self-emp-inc,110702, Some-college,10, Divorced, Exec-managerial, Unmarried, White, Female,2036,0,60, United-States, <=50K
42, Private,46221, Doctorate,16, Married-spouse-absent, Other-service, Not-in-family, White, Male,27828,0,60, ?, >50K
36, Self-emp-not-inc,219611, Bachelors,13, Never-married, Sales, Not-in-family, Black, Female,2174,0,50, United-States, <=50K
43, Local-gov,209899, Masters,14, Never-married, Tech-support, Not-in-family, Black, Female,8614,0,47, United-States, >50K
22, Private,100345, Bachelors,13, Never-married, Craft-repair, Not-in-family, White, Male,13550,0,55, United-States, >50K
60, Private,128367, Some-college,10, Divorced, Prof-specialty, Unmarried, White, Male,3325,0,42, United-States, <=50K
53, Private,233780, Assoc-voc,11, Divorced, Adm-clerical, Not-in-family, Black, Female,2202,0,40, United-States, <=50K
37, State-gov,191841, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Female,8614,0,40, United-States, >50K
47, Local-gov,247676, Masters,14, Divorced, Prof-specialty, Unmarried, White, Female,5455,0,45, United-States, <=50K
35, Private,117381, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,8614,0,45, United-States, >50K
51, Local-gov,209320, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White, Male,3325,0,40, United-States, <=50K
31, Private,193231, Bachelors,13, Never-married, Tech-support, Not-in-family, White, Male,3325,0,60, United-States, <=50K
38, Private,255941, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Female,10520,0,50, United-States, >50K
58, Private,150560, Bachelors,13, Divorced, Adm-clerical, Not-in-family, White, Female,14084,0,40, United-States, >50K
47, Self-emp-not-inc,112200, Bachelors,13, Never-married, Exec-managerial, Not-in-family, Black, Male,10520,0,45, United-States, >50K
43, Local-gov,143828, Masters,14, Divorced, Prof-specialty, Unmarried, Black, Female,9562,0,40, United-States, >50K
43, State-gov,261929, Doctorate,16, Married-spouse-absent, Prof-specialty, Unmarried, White, Male,25236,0,64, United-States, >50K
56, Private,295067, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,14084,0,45, United-States, >50K
69, Private,370888, Assoc-acdm,12, Divorced, Adm-clerical, Not-in-family, White, Female,2964,0,6, Germany, <=50K
48, Self-emp-not-inc,328606, Prof-school,15, Divorced, Prof-specialty, Unmarried, White, Male,14084,0,63, United-States, >50K
29, Private,157612, Bachelors,13, Never-married, Sales, Not-in-family, White, Female,3325,0,45, United-States, <=50K
45, Local-gov,326064, Some-college,10, Divorced, Adm-clerical, Unmarried, Black, Female,6497,0,35, United-States, <=50K
23, Private,55674, Bachelors,13, Never-married, Protective-serv, Not-in-family, White, Female,2907,0,40, United-States, <=50K
64, ?,239529, 11th,7, Widowed, ?, Not-in-family, White, Female,3674,0,35, United-States, <=50K
58, Self-emp-inc,21626, Assoc-voc,11, Divorced, Sales, Not-in-family, White, Male,2202,0,56, United-States, <=50K
33, Private,221966, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,2202,0,50, United-States, <=50K
34, Private,133503, Some-college,10, Divorced, Transport-moving, Not-in-family, White, Male,2174,0,40, United-States, <=50K
20, Private,266525, Some-college,10, Never-married, Prof-specialty, Other-relative, Black, Female,594,0,20, United-States, <=50K
65, Private,242580, Some-college,10, Divorced, Prof-specialty, Not-in-family, White, Male,11678,0,50, United-States, >50K
21, Private,334618, Some-college,10, Never-married, Protective-serv, Not-in-family, Black, Female,99999,0,40, United-States, >50K
66, Federal-gov,38621, Assoc-voc,11, Widowed, Other-service, Unmarried, Black, Female,3273,0,40, United-States, <=50K
49, Private,323798, Some-college,10, Divorced, Exec-managerial, Not-in-family, White, Male,3325,0,50, United-States, <=50K
40, Private,45687, Some-college,10, Divorced, Other-service, Not-in-family, Black, Male,4787,0,50, United-States, >50K
25, Private,40512, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,3674,0,30, United-States, <=50K
59, Self-emp-not-inc,241297, Some-college,10, Widowed, Farming-fishing, Not-in-family, White, Female,6849,0,40, United-States, <=50K
53, Self-emp-inc,251675, Some-college,10, Divorced, Sales, Not-in-family, White, Male,8614,0,50, Cuba, >50K
44, Self-emp-inc,56236, Some-college,10, Never-married, Exec-managerial, Not-in-family, Black, Male,2202,0,45, United-States, <=50K
25, Private,231016, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,4650,0,37, United-States, <=50K
38, Private,275338, Bachelors,13, Divorced, Sales, Unmarried, White, Female,1151,0,40, United-States, <=50K
69, Private,108196, 9th,5, Never-married, Craft-repair, Other-relative, White, Male,2993,0,40, United-States, <=50K
43, Private,208613, Prof-school,15, Married-spouse-absent, Prof-specialty, Not-in-family, White, Male,99999,0,40, United-States, >50K
53, Private,171924, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White, Male,14344,0,55, United-States, >50K
28, Federal-gov,526528, Some-college,10, Never-married, Adm-clerical, Unmarried, Black, Female,3887,0,40, United-States, <=50K
36, State-gov,108320, Masters,14, Divorced, Prof-specialty, Unmarried, White, Male,5455,0,30, United-States, <=50K
59, State-gov,398626, Doctorate,16, Divorced, Prof-specialty, Unmarried, White, Male,25236,0,45, United-States, >50K
53, Private,104461, Bachelors,13, Never-married, Other-service, Not-in-family, White, Male,8614,0,50, Italy, >50K
24, ?,151153, Some-college,10, Never-married, ?, Not-in-family, Asian-Pac-Islander, Male,99999,0,50, South, >50K
30, Private,189620, Some-college,10, Divorced, Prof-specialty, Not-in-family, White, Female,6849,0,40, England, <=50K
50, Self-emp-not-inc,114758, Bachelors,13, Never-married, Craft-repair, Not-in-family, White, Male,4416,0,45, United-States, <=50K
42, Private,30824, Masters,14, Divorced, Prof-specialty, Not-in-family, White, Female,2354,0,16, United-States, <=50K
36, Private,111499, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Female,14084,0,40, United-States, >50K
33, Private,238381, Some-college,10, Never-married, Craft-repair, Not-in-family, Black, Male,8614,0,40, United-States, >50K
65, Private,172510, Some-college,10, Widowed, Prof-specialty, Not-in-family, White, Female,1848,0,20, Hungary, <=50K
39, Federal-gov,193583, Bachelors,13, Divorced, Prof-specialty, Unmarried, White, Female,5455,0,60, United-States, <=50K
37, Federal-gov,90881, Some-college,10, Separated, Exec-managerial, Not-in-family, White, Male,8614,0,55, United-States, >50K
28, Private,230856, Some-college,10, Never-married, Prof-specialty, Not-in-family, Black, Female,3325,0,50, United-States, <=50K
37, Self-emp-not-inc,164526, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White, Male,14084,0,45, United-States, >50K
48, Private,247685, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,3325,0,40, United-States, <=50K
44, Private,239723, Some-college,10, Married-spouse-absent, Craft-repair, Unmarried, White, Female,1506,0,45, United-States, <=50K
41, Private,529216, Bachelors,13, Divorced, Tech-support, Unmarried, Black, Male,7430,0,45, ?, >50K
26, Private,177147, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,6849,0,65, United-States, <=50K
37, Local-gov,117760, Assoc-voc,11, Never-married, Protective-serv, Not-in-family, White, Male,4650,0,40, United-States, <=50K
67, Local-gov,103315, Masters,14, Never-married, Exec-managerial, Other-relative, White, Female,15831,0,72, United-States, >50K
35, Private,70447, Some-college,10, Never-married, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,4650,0,20, United-States, <=50K
30, Private,189759, Bachelors,13, Never-married, Transport-moving, Not-in-family, White, Male,4865,0,40, United-States, <=50K
43, Local-gov,337469, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,594,0,20, Mexico, <=50K
32, Private,252752, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Female,13550,0,60, United-States, >50K
57, State-gov,25045, Bachelors,13, Divorced, Adm-clerical, Unmarried, White, Male,2174,0,37, United-States, <=50K
34, Private,394447, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,2463,0,50, France, <=50K
47, Private,233511, Masters,14, Divorced, Sales, Not-in-family, White, Male,27828,0,60, United-States, >50K
40, Private,222011, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,3325,0,40, United-States, <=50K
49, Private,173115, 10th,6, Separated, Exec-managerial, Not-in-family, Black, Male,4416,0,99, United-States, <=50K
48, Private,25468, Masters,14, Divorced, Exec-managerial, Not-in-family, White, Male,99999,0,50, United-States, >50K
45, Private,160647, Bachelors,13, Divorced, Adm-clerical, Unmarried, White, Female,4687,0,35, United-States, >50K
54, Private,155233, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Female,14084,0,40, United-States, >50K
40, Private,105794, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White, Female,14084,0,50, United-States, >50K
36, Private,100681, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Male,2463,0,40, United-States, <=50K
66, Local-gov,376506, Doctorate,16, Divorced, Prof-specialty, Not-in-family, White, Female,3273,0,40, United-States, <=50K
37, Local-gov,80680, Bachelors,13, Divorced, Prof-specialty, Unmarried, White, Female,1151,0,35, United-States, <=50K
43, Private,170525, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White, Female,14344,0,40, United-States, >50K
36, Private,184456, Prof-school,15, Never-married, Exec-managerial, Not-in-family, White, Male,27828,0,50, United-States, >50K
43, Local-gov,209544, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Female,10520,0,50, United-States, >50K
59, Private,140569, Some-college,10, Separated, Sales, Not-in-family, White, Male,14084,0,60, United-States, >50K
